#Description of Polygons
#Number of Obstacle
108
#Obstacle #0
#Number of Polygons
1
#Polygon #0
#Number of Vertices
4
#------------
0.9267683 3.9028473
-2.9737377 -2.692215
-0.9267683 -3.9028473
2.9737377 2.692215
#Initial Configuration
9.596232 103.59254 0
#Obstacle #1
#Number of Polygons
1
#Polygon #0
#Number of Vertices
4
#------------
-3.9998903 1.014885
2.8368607 -2.9976044
3.9998894 -1.0148926
-2.8368626 2.9976044
#Initial Configuration
14.997322 100.205765 0
#Obstacle #2
#Number of Polygons
1
#Polygon #0
#Number of Vertices
4
#------------
0.97382164 3.8904495
-3.006853 -2.656578
-0.97382164 -3.8904572
3.006853 2.656578
#Initial Configuration
11.212029 95.233536 0
#Obstacle #3
#Number of Polygons
1
#Polygon #0
#Number of Vertices
4
#------------
-3.9840078 1.0802994
2.786725 -3.0425339
3.9840078 -1.0802994
-2.7867255 3.0425415
#Initial Configuration
6.191559 98.88306 0
#Obstacle #4
#Number of Polygons
1
#Polygon #0
#Number of Vertices
4
#------------
-1.1890888 3.8310852
-1.1890888 -3.8310852
1.1890869 -3.8310852
1.1890869 3.8310852
#Initial Configuration
30.189053 118.13399 0
#Obstacle #5
#Number of Polygons
1
#Polygon #0
#Number of Vertices
4
#------------
-3.959465 -1.1626434
3.967739 -1.1360016
3.9594727 1.1626358
-3.9677353 1.135994
#Initial Configuration
36.562004 117.96837 0
#Obstacle #6
#Number of Polygons
1
#Polygon #0
#Number of Vertices
4
#------------
-1.1422768 3.844368
-1.235733 -3.8172684
1.1422806 -3.844368
1.235733 3.8172684
#Initial Configuration
35.835052 111.76167 0
#Obstacle #7
#Number of Polygons
1
#Polygon #0
#Number of Vertices
4
#------------
-3.9790974 -1.0982513
3.9474564 -1.2001953
3.9790955 1.0982513
-3.9474564 1.2001953
#Initial Configuration
29.655952 112.347206 0
#Obstacle #8
#Number of Polygons
1
#Polygon #0
#Number of Vertices
4
#------------
-1.1890907 3.8310852
-1.1890907 -3.8310852
1.1890869 -3.8310852
1.1890869 3.8310852
#Initial Configuration
47.612633 112.02044 0
#Obstacle #9
#Number of Polygons
1
#Polygon #0
#Number of Vertices
4
#------------
