#number of obstacle
42
# obstacle 0
# number of convex part
1
# convex part #0
# number of vertices
4
# vertices
8.0 127.5
8.0 0.25
9.75 0.25
9.75 127.5
#configuration
118.0 -0.25 0.0
# obstacle 1
# number of convex part
1
# convex part #0
# number of vertices
4
# vertices
0.25 127.5
0.25 125.75
127.75 125.75
127.75 127.5
#configuration
0.0 -125.75 0.0
# obstacle 2
# number of convex part
1
# convex part #0
# number of vertices
4
# vertices
0.25 127.5
0.25 125.75
127.75 125.75
127.75 127.5
#configuration
0.0 0.0 0.0
# obstacle 3
# number of convex part
1
# convex part #0
# number of vertices
4
# vertices
0.25 127.5
0.25 125.75
127.75 125.75
127.75 127.5
#configuration
0.0 0.0 0.0
# obstacle 4
# number of convex part
1
# convex part #0
# number of vertices
4
# vertices
8.0 127.5
8.0 0.25
9.75 0.25
9.75 127.5
#configuration
-7.75 0.0 0.0
# obstacle 5
# number of convex part
1
# convex part #0
# number of vertices
4
# vertices
4.75 59.25
4.75 58.5
6.25 58.5
6.25 59.25
#configuration
101.5 -49.25 0.0
# obstacle 6
# number of convex part
1
# convex part #0
# number of vertices
4
# vertices
8.75 61.25
8.75 58.5
9.5 58.5
9.5 61.25
#configuration
96.75 -51.25 0.0
# obstacle 7
# number of convex part
1
# convex part #0
# number of vertices
4
# vertices
4.75 59.25
4.75 58.5
6.25 58.5
6.25 59.25
#configuration
101.5 -51.25 0.0
# obstacle 8
# number of convex part
1
# convex part #0
# number of vertices
4
# vertices
8.75 61.25
8.75 58.5
9.5 58.5
9.5 61.25
#configuration
107.0 -51.25 0.0
# obstacle 9
# number of convex part
1
# convex part #0
# number of vertices
4
# vertices
8.75 61.25
8.75 58.5
9.5 58.5
9.5 61.25
#configuration
109.5 -51.25 0.0
# obstacle 10
# number of convex part
1
# convex part #0
# number of vertices
4
# vertices
10.25 59.5
8.75 59.5
8.75 59.0
10.0 59.0
#configuration
108.25 -50.75 0.0
# obstacle 11
# number of convex part
1
# convex part #0
# number of vertices
4
# vertices
8.75 59.5
8.25 59.5
8.25 57.75
8.75 57.75
#configuration
108.75 -49.5 0.0
# obstacle 12
# number of convex part
1
# convex part #0
# number of vertices
4
# vertices
10.25 59.5
8.75 59.5
8.75 59.0
10.0 59.0
#configuration
108.25 -49.5 0.0
# obstacle 13
# number of convex part
1
# convex part #0
# number of vertices
4
# vertices
10.25 59.5
8.75 59.5
8.75 59.0
10.0 59.0
#configuration
100.25 -51.75 0.0
# obstacle 14
# number of convex part
1
# convex part #0
# number of vertices
4
# vertices
8.75 59.5
8.25 59.5
8.25 57.75
8.75 57.75
#configuration
100.75 -50.5 0.0
# obstacle 15
# number of convex part
1
# convex part #0
# number of vertices
4
# vertices
10.25 59.5
8.75 59.5
8.75 59.0
10.0 59.0
#configuration
100.25 -50.5 0.0
# obstacle 16
# number of convex part
1
# convex part #0
# number of vertices
4
# vertices
8.75 61.25
8.75 58.5
9.5 58.5
9.5 61.25
#configuration
99.0 -51.25 0.0
# obstacle 17
# number of convex part
1
# convex part #0
# number of vertices
4
# vertices
8.75 61.25
8.75 58.5
9.5 58.5
9.5 61.25
#configuration
101.75 -51.25 0.0
# obstacle 18
# number of convex part
1
# convex part #0
# number of vertices
4
# vertices
8.75 61.25
8.75 58.5
9.5 58.5
9.5 61.25
#configuration
112.0 -51.25 0.0
# obstacle 19
# number of convex part
1
# convex part #0
# number of vertices
4
# vertices
10.25 59.5
8.75 59.5
8.75 59.0
10.0 59.0
#configuration
110.75 -50.75 0.0
# obstacle 20
# number of convex part
1
# convex part #0
# number of vertices
4
# vertices
8.75 59.5
8.25 59.5
8.25 57.75
8.75 57.75
#configuration
111.25 -49.5 0.0
# obstacle 21
# number of convex part
1
# convex part #0
# number of vertices
4
# vertices
10.25 59.5
8.75 59.5
8.75 59.0
10.0 59.0
#configuration
110.75 -49.5 0.0
# obstacle 22
# number of convex part
1
# convex part #0
# number of vertices
4
# vertices
8.75 61.25
8.75 58.5
9.5 58.5
9.5 61.25
#configuration
114.5 -51.25 0.0
# obstacle 23
# number of convex part
1
# convex part #0
# number of vertices
4
# vertices
10.25 59.5
8.75 59.5
8.75 59.0
10.0 59.0
#configuration
113.25 -50.75 0.0
# obstacle 24
# number of convex part
1
# convex part #0
# number of vertices
4
# vertices
