
#DESCRIPTION_OF_POLYGONS
#Number of Obstacle
27
#Obstacle #0
#Number of Polygons
5
#Polygon #0
#Number of Vertices
4
#------------
47.38124 29.456718
45.00049 27.895203
44.923477 25.613861
47.096977 27.133362
#Polygon #1
#Number of Vertices
5
#------------
38.023476 23.459915
6.369232 2.9094849
-10.296051 -8.0211525
-9.77227 -10.072811
37.80082 21.364845
#Polygon #2
#Number of Vertices
6
#------------
-10.296051 -8.0211525
-26.424976 -17.872036
-25.880184 -20.027328
-20.783958 -18.023243
-11.674068 -12.400368
-9.647629 -10.15543
#Polygon #3
#Number of Vertices
4
#------------
-26.300335 -17.954662
-42.637924 -27.308384
-41.82706 -28.11504
-25.77655 -20.006317
#Polygon #4
#Number of Vertices
3
#------------
-42.61692 -27.412018
-47.381237 -29.45671
-41.329903 -27.906368
#Initial Configuration
73.91936 71.02643 0
#Obstacle #1
#Number of Polygons
27
#Polygon #0
#Number of Vertices
4
#------------
-25.07943 -7.179199
-29.17136 -9.620232
-25.943405 -23.098068
-22.041344 -20.94345
#Polygon #1
#Number of Vertices
5
#------------
-21.510452 -5.2160645
-25.293434 -7.34655
-24.907242 -9.251724
-23.12275 -8.270157
-21.457336 -7.312729
#Polygon #2
#Number of Vertices
4
#------------
-22.551521 -8.0303955
-20.042847 -19.794533
-18.235832 -18.312538
-21.293213 -6.287735
#Polygon #3
#Number of Vertices
4
#------------
-20.404907 -18.008438
-22.593277 -19.443771
-22.350288 -21.254005
-19.828835 -19.62719
#Polygon #4
#Number of Vertices
4
#------------
-20.5112 -4.641609
-21.486313 -5.335144
-18.354904 -18.336678
-17.355652 -17.762222
#Polygon #5
#Number of Vertices
4
#------------
-18.655914 -3.397766
-20.416267 -4.498398
-19.499046 -9.023186
-17.048386 -7.6586533
#Polygon #6
#Number of Vertices
4
#------------
-18.655846 -12.571266
-17.49887 -17.667282
24.770493 9.867996
24.046371 13.440201
#Polygon #7
#Number of Vertices
4
#------------
22.50319 20.441406
-18.98899 -3.589241
-17.143318 -7.8018646
23.29972 16.511978
#Polygon #8
#Number of Vertices
4
#------------
27.047272 23.098068
24.977982 21.686867
26.793121 10.897842
29.171364 12.619598
#Polygon #9
#Number of Vertices
4
#------------
23.074417 20.681168
22.55146 20.203255
24.556473 9.700653
25.079437 10.178558
#Polygon #10
#Number of Vertices
4
#------------
24.977982 21.686867
22.884544 20.394737
23.317406 18.870926
25.410843 20.163048
#Polygon #11
#Number of Vertices
4
#------------
27.193779 12.590622
23.60228 10.12706
23.84365 8.936325
27.649162 11.56723
#Polygon #12
#Number of Vertices
4
#------------
-15.885017 -6.0591965
-16.621986 -6.70446
-15.439247 -12.539055
-14.845497 -11.798866
#Polygon #13
#Number of Vertices
4
#------------
-12.554184 -4.1443405
-13.267014 -4.9086685
-12.132561 -10.505127
-11.514664 -9.884003
#Polygon #14
#Number of Vertices
4
#------------
-9.15094 -2.5867004
-9.9828415 -3.3751678
-9.039871 -8.638542
-8.327049 -7.874214
#Polygon #15
#Number of Vertices
4
#------------
-6.7019043 -0.60266876
-7.319786 -1.2237778
-6.138672 -6.4388733
-5.6881332 -5.6037445
#Polygon #16
#Number of Vertices
4
#------------
-3.7990952 0.9774933
-4.416977 0.35637665
